Oxysoft export of:	C:\Users\NIRS\Desktop\colm1222
Export date:	2016/11/23 17:17:46
Start of measurement:	2016-11-23 17:13:14.284

Datafile sample rate:	10.00	Hz
Datafile duration:	228.00	s
Datafile total number of samples:	2280

Description:	

Optode-template:	3 x 1 channel (split) I
Optode distance (mm):	 10.00	10.00	10.00
Optode gradients (mm):	 -	-	-
DPF:	4.00	4.00	4.00

Device id:	10221
# Receivers:	2
# Light sources:	8
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	762	nm
1	3	847	nm
1	4	761	nm
1	5	847	nm
1	6	761	nm
1	7	847	nm
1	8	761	nm

Export sample rate:	10.00	Hz
No time span selected, exporting full time span



Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1 - Tx1 O2Hb (colm1222)
3	Rx1 - Tx1 HHb (colm1222)
4	Rx2a - Tx2 O2Hb (colm1222)
5	Rx2a - Tx2 HHb (colm1222)
6	Rx2b - Tx3 O2Hb (colm1222)
7	Rx2b - Tx3 HHb (colm1222)
8	(Event)


1	2	3	4	5	6	7	8
   190	-0.1743	 0.2540	-13.3852	 4.9426	 6.1528	 1.7015	 
   191	-0.3253	 0.2352	-0.0004	 0.0002	 5.3137	 1.4116	 
   192	-0.5150	 0.1932	-0.0004	 0.0002	 4.3197	 1.0290	 
   193	-0.3292	 0.1612	-13.3852	 4.9426	 5.4171	 1.8982	 
   194	 0.3174	 0.3335	-0.0004	 0.0002	 8.5884	 3.0887	 
   195	 0.2400	 0.2871	-0.0004	 0.0002	 5.6968	 2.2073	 
   196	 0.0890	 0.2683	-0.0004	 0.0002	 5.6107	 2.0142	 
   197	 0.1277	 0.2915	-0.0004	 0.0002	 6.3379	 2.3079	 
   198	-0.0233	 0.2727	-0.0004	 0.0002	1303.8235	-477.9604	 
   199	-0.3292	 0.1612	-0.0004	 0.0002	1304.9247	-479.5665	 
   200	-0.5189	 0.1192	-0.0004	 0.0002	1019.6114	-374.6997	 
   201	-0.7086	 0.0773	 7.9832	-11.6440	1019.9899	-375.2518	 
   202	-0.8635	-0.0155	-0.0004	 0.0002	1021.0911	-376.8579	 
   203	-1.0145	-0.0342	-0.0004	 0.0002	 0.0296	-0.7604	 
   204	-0.6738	 0.0265	-0.0004	 0.0002	 2.9213	 0.7582	 
